Gene Name,Protein IDs,Tumor_vs_Normal_log2 fold change,Tumor_vs_Normal_p.val,Tumor_vs_Normal_p.adj,significant,Tumor_vs_Normal_significant,imputed,num_NAs
AADAT,Q8N5Z0,-1.67,2.91E-07,3.86E-06,TRUE,TRUE,FALSE,0
AASS,Q9UDR5,-1.56,2.00E-08,4.63E-07,TRUE,TRUE,FALSE,0
ABAT,P80404,-2.26,1.23E-09,5.49E-08,TRUE,TRUE,FALSE,0
ABCA8,O94911,-0.818,0.000146,0.000658,TRUE,TRUE,TRUE,8
ABCB1,P08183,-1.42,1.33E-05,8.71E-05,TRUE,TRUE,FALSE,0
ABCB8,Q9NUT2,-0.834,2.37E-07,3.28E-06,TRUE,TRUE,FALSE,0
ABCC2,Q92887,-1.11,6.22E-05,0.000318,TRUE,TRUE,FALSE,0
ABCC3,O15438,1.2,3.84E-07,4.83E-06,TRUE,TRUE,FALSE,0
ABCC6,O95255,-1.09,2.09E-05,0.000127,TRUE,TRUE,FALSE,0
ABCD3,P28288,-1.05,2.15E-06,1.89E-05,TRUE,TRUE,FALSE,0
ABCG1,P45844,1.5,2.85E-08,6.05E-07,TRUE,TRUE,FALSE,0
ABHD10,Q9NUJ1,-1.09,4.45E-09,1.45E-07,TRUE,TRUE,FALSE,0
ABHD15,Q6UXT9,-1.91,0.00189,0.00588,TRUE,TRUE,TRUE,16
ABHD17C,Q6PCB6,-1.87,2.36E-07,3.28E-06,TRUE,TRUE,TRUE,16
ABHD18,Q0P651,-0.754,0.000675,0.00245,TRUE,TRUE,TRUE,16
ABHD6,Q9BV23,-0.78,2.63E-05,0.000155,TRUE,TRUE,FALSE,0
ABI3,Q9P2A4,0.834,9.02E-06,6.28E-05,TRUE,TRUE,FALSE,0
ABLIM2,Q6H8Q1,-0.919,1.17E-05,7.81E-05,TRUE,TRUE,FALSE,0
ABLIM3,O94929,0.739,0.000548,0.00204,TRUE,TRUE,FALSE,0
ABT1,Q9ULW3,0.725,2.34E-08,5.18E-07,TRUE,TRUE,FALSE,0
ACAA1,P09110,-1.5,2.36E-08,5.22E-07,TRUE,TRUE,FALSE,0
ACAA2,P42765,-0.739,0.000131,6.00E-04,TRUE,TRUE,FALSE,0
ACAD10,Q6JQN1,-1.26,7.55E-10,3.89E-08,TRUE,TRUE,FALSE,0
ACAD8,Q9UKU7,-1.45,2.31E-11,4.30E-09,TRUE,TRUE,FALSE,0
ACADL,P28330,-0.831,0.00163,0.00517,TRUE,TRUE,FALSE,0
ACADM,P11310,-1.49,2.16E-08,4.89E-07,TRUE,TRUE,FALSE,0
ACADSB,P45954,-1.5,7.36E-08,1.28E-06,TRUE,TRUE,FALSE,0
ACAT1,P24752,-1.23,2.66E-10,1.90E-08,TRUE,TRUE,FALSE,0
ACCS,Q96QU6,-1.43,0.000142,0.000644,TRUE,TRUE,TRUE,16
ACE,P12821,-1.24,4.85E-05,0.000258,TRUE,TRUE,FALSE,0
ACLY,P53396,1.06,7.97E-06,5.64E-05,TRUE,TRUE,FALSE,0
ACMSD,Q8TDX5,-1.35,4.27E-05,0.000232,TRUE,TRUE,FALSE,0
ACO1,P21399,-1.22,3.75E-07,4.75E-06,TRUE,TRUE,FALSE,0
ACO2,Q99798,-0.861,7.44E-08,1.30E-06,TRUE,TRUE,FALSE,0
ACOT11,Q8WXI4,-1.14,3.67E-10,2.36E-08,TRUE,TRUE,FALSE,0
ACOT13,Q9NPJ3,-1.11,6.27E-07,7.09E-06,TRUE,TRUE,FALSE,0
ACOT2,P49753,-1.09,1.53E-07,2.27E-06,TRUE,TRUE,FALSE,0
ACOT4,Q8N9L9,-0.705,0.00385,0.0108,TRUE,TRUE,FALSE,0
ACOX1,Q15067,-1.49,3.25E-07,4.23E-06,TRUE,TRUE,FALSE,0
ACOX2,Q99424,-1.61,2.56E-07,3.50E-06,TRUE,TRUE,FALSE,0
ACP3,P15309,-1.51,1.04E-08,2.83E-07,TRUE,TRUE,FALSE,0
ACP6,Q9NPH0,-1.12,1.71E-08,4.11E-07,TRUE,TRUE,FALSE,0
ACSF2,Q96CM8,-2.24,4.42E-09,1.44E-07,TRUE,TRUE,FALSE,0
ACSF3,Q4G176,-0.982,5.13E-09,1.62E-07,TRUE,TRUE,FALSE,0
ACSL1,P33121,-1,3.95E-08,7.78E-07,TRUE,TRUE,FALSE,0
ACSM2A,Q08AH3,-1.7,2.90E-07,3.86E-06,TRUE,TRUE,FALSE,0
ACSM2B,Q68CK6,-1.73,1.99E-07,2.84E-06,TRUE,TRUE,FALSE,0
ACSM3,Q53FZ2,-2.05,1.94E-10,1.51E-08,TRUE,TRUE,FALSE,0
ACSM4,P0C7M7,-2.54,3.02E-11,5.04E-09,TRUE,TRUE,FALSE,0
ACSS1,Q9NUB1,-0.931,1.35E-09,5.82E-08,TRUE,TRUE,FALSE,0
ACSS3,Q9H6R3,-0.955,1.07E-07,1.71E-06,TRUE,TRUE,FALSE,0
ACTR3B,Q9P1U1,-0.755,1.37E-05,8.92E-05,TRUE,TRUE,FALSE,0
ACY1,Q03154,-1.88,1.59E-09,6.59E-08,TRUE,TRUE,FALSE,0
ACY3,Q96HD9,-1.03,3.26E-07,4.23E-06,TRUE,TRUE,FALSE,0
ACYP1,P07311,0.73,3.37E-05,0.000191,TRUE,TRUE,FALSE,0
ADA,P00813,1.17,2.54E-05,0.000151,TRUE,TRUE,FALSE,0
ADA2,Q9NZK5,1.22,0.000129,0.000592,TRUE,TRUE,FALSE,0
ADAMTS2,O95450,-1.51,0.00322,0.00929,TRUE,TRUE,TRUE,16
ADAMTS7,Q9UKP4,1.89,6.75E-05,0.00034,TRUE,TRUE,FALSE,0
ADAMTSL2,Q86TH1,-1.07,0.000218,0.000927,TRUE,TRUE,FALSE,0
ADAMTSL5,Q6ZMM2,-1.43,9.71E-12,2.86E-09,TRUE,TRUE,FALSE,0
ADAP2,Q9NPF8,0.908,6.84E-06,4.98E-05,TRUE,TRUE,FALSE,0
ADCK1,Q86TW2,-0.743,4.31E-09,1.42E-07,TRUE,TRUE,FALSE,0
ADCY9,O60503,-0.756,0.000183,8.00E-04,TRUE,TRUE,FALSE,0
ADD2,P35612,0.857,0.00646,0.0169,TRUE,TRUE,FALSE,0
ADD3,Q9UEY8,-0.756,1.78E-07,2.56E-06,TRUE,TRUE,FALSE,0
ADGRE2,Q9UHX3,1.05,2.23E-05,0.000134,TRUE,TRUE,FALSE,0
ADGRF1,Q5T601,-1.04,7.56E-08,1.31E-06,TRUE,TRUE,FALSE,0
ADH1A,P07327,-0.997,7.55E-05,0.000376,TRUE,TRUE,FALSE,0
ADH1B,P00325,-2.28,5.06E-13,6.75E-10,TRUE,TRUE,FALSE,0
ADH1C,P00326,-1.93,1.25E-09,5.50E-08,TRUE,TRUE,FALSE,0
ADH6,P28332,-2.07,2.61E-08,5.67E-07,TRUE,TRUE,FALSE,0
ADHFE1,Q8IWW8,-1.56,8.28E-09,2.38E-07,TRUE,TRUE,FALSE,0
ADIPOQ,Q15848,0.711,0.00364,0.0103,TRUE,TRUE,FALSE,0
ADRA2A,P08913,-1.03,0.00637,0.0167,TRUE,TRUE,TRUE,8
ADSS1,Q8N142,1.01,0.00626,0.0165,TRUE,TRUE,FALSE,0
AFAP1L1,Q8TED9,0.907,5.28E-06,4.02E-05,TRUE,TRUE,FALSE,0
AFG1L,Q8WV93,-1.19,1.29E-10,1.16E-08,TRUE,TRUE,FALSE,0
AFMID,Q63HM1,-1.23,1.43E-06,1.37E-05,TRUE,TRUE,FALSE,0
AGMAT,Q9BSE5,-1.78,3.47E-09,1.21E-07,TRUE,TRUE,FALSE,0
AGPAT3,Q9NRZ7,-1.11,0.000172,0.000759,TRUE,TRUE,FALSE,0
AGR2,O95994,-1.26,4.80E-07,5.66E-06,TRUE,TRUE,FALSE,0
AGXT,P21549,-1.59,4.78E-06,3.70E-05,TRUE,TRUE,FALSE,0
AGXT2,Q9BYV1,-1.67,6.27E-07,7.09E-06,TRUE,TRUE,FALSE,0
AHCY,P23526,-0.725,5.87E-06,4.38E-05,TRUE,TRUE,FALSE,0
AHNAK,Q09666,0.7,1.80E-06,1.65E-05,TRUE,TRUE,FALSE,0
AHNAK2,Q8IVF2,2.33,4.89E-09,1.56E-07,TRUE,TRUE,FALSE,0
AHR,P35869,1.03,2.86E-07,3.81E-06,TRUE,TRUE,FALSE,0
AIF1L,Q9BQI0,-1.72,4.03E-10,2.50E-08,TRUE,TRUE,FALSE,0
AIFM1,O95831,-1.23,1.69E-08,4.06E-07,TRUE,TRUE,FALSE,0
AK2,P54819,-0.76,1.02E-06,1.04E-05,TRUE,TRUE,FALSE,0
AK3,Q9UIJ7,-1.33,2.08E-11,4.12E-09,TRUE,TRUE,FALSE,0
AK4,P27144,-1.36,8.91E-07,9.29E-06,TRUE,TRUE,FALSE,0
AK7,Q96M32,2.75,0.000982,0.00336,TRUE,TRUE,TRUE,16
AKR1A1,P14550,-0.755,5.08E-05,0.000267,TRUE,TRUE,FALSE,0
AKR7A3,O95154,-1.32,2.47E-08,5.40E-07,TRUE,TRUE,FALSE,0
ALAD,P13716,-0.769,0.000477,0.00181,TRUE,TRUE,FALSE,0
ALDH1A2,O94788,-0.883,0.000155,0.000697,TRUE,TRUE,FALSE,0
ALDH1B1,P30837,-1.52,6.75E-07,7.48E-06,TRUE,TRUE,FALSE,0
ALDH1L1,O75891,-1.12,0.000263,0.00109,TRUE,TRUE,FALSE,0
ALDH2,P05091,-1.33,1.30E-07,1.99E-06,TRUE,TRUE,FALSE,0
ALDH3A2,P51648,-0.788,0.00145,0.00467,TRUE,TRUE,FALSE,0
ALDH4A1,P30038,-1.81,2.56E-07,3.50E-06,TRUE,TRUE,FALSE,0
ALDH5A1,P51649,-1.42,2.02E-09,8.05E-08,TRUE,TRUE,FALSE,0
ALDH6A1,Q02252,-1.91,8.08E-10,4.06E-08,TRUE,TRUE,FALSE,0
ALDH7A1,P49419,-1.1,2.89E-06,2.43E-05,TRUE,TRUE,FALSE,0
ALDH8A1,Q9H2A2,-1.66,9.98E-07,1.03E-05,TRUE,TRUE,FALSE,0
ALDOA,P00883,1.04,8.45E-08,1.43E-06,TRUE,TRUE,FALSE,0
ALDOB,P05062,-2.11,2.49E-07,3.42E-06,TRUE,TRUE,FALSE,0
ALDOC,P09972,1.28,9.52E-09,2.65E-07,TRUE,TRUE,FALSE,0
ALG3,Q92685,-0.731,0.0233,0.0494,TRUE,TRUE,TRUE,8
ALKBH7,Q9BT30,-0.805,1.92E-05,0.000118,TRUE,TRUE,FALSE,0
ALOX5,P09917,1.45,2.32E-06,2.01E-05,TRUE,TRUE,FALSE,0
ALOX5AP,P20292,1.07,0.000399,0.00155,TRUE,TRUE,FALSE,0
AMACR,Q9UHK6,-0.983,2.99E-05,0.000172,TRUE,TRUE,FALSE,0
AMBP,P02760,-0.784,8.09E-05,0.000398,TRUE,TRUE,FALSE,0
AMDHD1,Q96NU7,-0.81,0.00171,0.00539,TRUE,TRUE,FALSE,0
AMN,Q9BXJ7,-0.801,0.000384,0.0015,TRUE,TRUE,FALSE,0
AMPD2,Q01433,0.751,9.86E-06,6.75E-05,TRUE,TRUE,FALSE,0
AMPD3,Q01432,0.743,0.000162,0.000722,TRUE,TRUE,FALSE,0
AMT,P48728,-1.73,2.45E-11,4.35E-09,TRUE,TRUE,FALSE,0
ANG,P03950,-0.756,5.75E-06,4.32E-05,TRUE,TRUE,FALSE,0
