Protein Group	SubGroup	Protein	Protein ID	Entry Name	Gene Names	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Unique Stripped Peptides	Summarized Total Spectral Count	Summarized Unique Spectral Count	Summarized Razor Spectral Count	aspirin_1 Total Spectral Count	aspirin_1 Unique Spectral Count	aspirin_1 Razor Spectral Count	aspirin_1 Total Ion Count	aspirin_1 Unique Ion Count	aspirin_1 Razor Ion Count	aspirin_1 Total Intensity	aspirin_1 Unique Intensity	aspirin_1 Razor Intensity	aspirin_2 Total Spectral Count	aspirin_2 Unique Spectral Count	aspirin_2 Razor Spectral Count	aspirin_2 Total Ion Count	aspirin_2 Unique Ion Count	aspirin_2 Razor Ion Count	aspirin_2 Total Intensity	aspirin_2 Unique Intensity	aspirin_2 Razor Intensity	aspirin_3 Total Spectral Count	aspirin_3 Unique Spectral Count	aspirin_3 Razor Spectral Count	aspirin_3 Total Ion Count	aspirin_3 Unique Ion Count	aspirin_3 Razor Ion Count	aspirin_3 Total Intensity	aspirin_3 Unique Intensity	aspirin_3 Razor Intensity	control_1 Total Spectral Count	control_1 Unique Spectral Count	control_1 Razor Spectral Count	control_1 Total Ion Count	control_1 Unique Ion Count	control_1 Razor Ion Count	control_1 Total Intensity	control_1 Unique Intensity	control_1 Razor Intensity	control_2 Total Spectral Count	control_2 Unique Spectral Count	control_2 Razor Spectral Count	control_2 Total Ion Count	control_2 Unique Ion Count	control_2 Razor Ion Count	control_2 Total Intensity	control_2 Unique Intensity	control_2 Razor Intensity	control_3 Total Spectral Count	control_3 Unique Spectral Count	control_3 Razor Spectral Count	control_3 Total Ion Count	control_3 Unique Ion Count	control_3 Razor Ion Count	control_3 Total Intensity	control_3 Unique Intensity	control_3 Razor Intensity	Indistinguishable Proteins
2	a	sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	20.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0000	0.9990	4	6	6	6	3	3	3	2	0	2	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	2	0	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	sp|P0DPI2|GAL3A_HUMAN
3	a	sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	12.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0000	0.9990	9	19	19	19	9	9	9	8	8	8	2.06619344E8	2.06619344E8	2.06619344E8	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	3	3	3	1.16936784E8	1.16936784E8	1.16936784E8	3	3	3	2	2	2	7.5423168E7	7.5423168E7	7.5423168E7	4	4	4	3	3	3	1.27629896E8	1.27629896E8	1.27629896E8	1	1	1	0	0	0	0.0	0.0	0.0	
4	a	sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	10.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0000	0.9990	8	18	18	18	11	11	11	8	8	8	3.00939712E8	3.00939712E8	3.00939712E8	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	3	3	3	2	2	2	5.6704378E8	5.6704378E8	5.6704378E8	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
5	a	sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	17.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0000	0.9990	11	35	35	35	19	19	19	15	15	15	4.8123296E8	4.8123296E8	4.8123296E8	2	2	2	3	3	3	2.35336464E8	2.35336464E8	2.35336464E8	3	3	3	3	3	3	1.74791888E8	1.74791888E8	1.74791888E8	4	4	4	3	3	3	2.3031416E8	2.3031416E8	2.3031416E8	4	4	4	3	3	3	2.53005312E8	2.53005312E8	2.53005312E8	3	3	3	3	3	3	2.08876192E8	2.08876192E8	2.08876192E8	
6	a	sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	7.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 223	1.0000	0.9990	2	3	3	3	2	2	2	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
7	a	sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	17.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0000	0.9990	6	16	16	16	5	5	5	4	4	4	4.06508416E8	4.06508416E8	4.06508416E8	0	0	0	2	2	2	8.1915992E7	8.1915992E7	8.1915992E7	3	3	3	2	2	2	1.10964728E8	1.10964728E8	1.10964728E8	7	7	7	5	5	5	1.10336752E8	1.10336752E8	1.10336752E8	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
8	a	sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	4.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0000	0.9990	2	2	2	2	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
9	a	sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	7.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0000	0.9990	6	9	9	9	3	3	3	3	3	3	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	5	5	5	4	4	4	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
10	a	sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	0.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0000	0.9989	1	3	3	3	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	3	3	3	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
11	a	sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	4.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0000	0.9990	7	23	23	23	0	0	0	0	0	0	0.0	0.0	0.0	3	3	3	2	2	2	1.19357832E8	1.19357832E8	1.19357832E8	2	2	2	0	0	0	0.0	0.0	0.0	9	9	9	7	7	7	1.0667196E8	1.0667196E8	1.0667196E8	3	3	3	0	0	0	0.0	0.0	0.0	6	6	6	3	3	3	1.29204264E8	1.29204264E8	1.29204264E8	
